episode: 7652/200000, score: -32.71840059999997, average: -93.94
episode: 7653/200000, score: -149.40000000000006, average: -94.59
episode: 7654/200000, score: -148.10000000000002, average: -95.22
episode: 7655/200000, score: -128.00000000000006, average: -94.74
episode: 7656/200000, score: -130.6, average: -94.71
episode: 7657/200000, score: -112.09999999999998, average: -94.69
episode: 7658/200000, score: -94.75360050000019, average: -93.61
episode: 7659/200000, score: -90.31040000000006, average: -93.42
episode: 7660/200000, score: -84.48640300000005, average: -92.58
episode: 7661/200000, score: -54.75360049999981, average: -91.75
episode: 7662/200000, score: -31.800000000000068, average: -90.04
episode: 7663/200000, score: -70.51840060000015, average: -88.99
episode: 7664/200000, score: -67.40000000000009, average: -87.91
episode: 7665/200000, score: -116.29999999999998, average: -90.13
episode: 7666/200000, score: -129.20000000000005, average: -90.21
episode: 7667/200000, score: 0.1343930000008129, average: -87.92
episode: 7668/200000, score: -137.1, average: -89.38
episode: 7669/200000, score: -58.35440000000003, average: -88.00
episode: 7670/200000, score: -147.60000000000005, average: -88.44
episode: 7671/200000, score: -89.30000000000004, average: -88.74
episode: 7672/200000, score: -93.69999999999996, average: -88.97
episode: 7673/200000, score: -39.960000999999906, average: -87.11
episode: 7674/200000, score: -144.3, average: -86.94
episode: 7675/200000, score: -112.39999999999998, average: -86.78
episode: 7676/200000, score: -99.40000000000018, average: -87.02
episode: 7677/200000, score: -60.54000000000021, average: -85.57
episode: 7678/200000, score: -118.79999999999997, average: -85.41
episode: 7679/200000, score: -146.1000000000001, average: -85.39
episode: 7680/200000, score: -150.2000000000001, average: -86.32
episode: 7681/200000, score: -85.20000000000013, average: -85.08
episode: 7682/200000, score: -113.49999999999997, average: -84.90
episode: 7683/200000, score: -146.60000000000008, average: -86.32
episode: 7684/200000, score: -59.20000400000011, average: -86.90
episode: 7685/200000, score: -67.4000000000001, average: -86.37
episode: 7686/200000, score: 44.50000000000088, average: -83.65
episode: 7687/200000, score: -116.1, average: -87.16
episode: 7688/200000, score: -31.999999999999474, average: -85.27
episode: 7689/200000, score: 137.09999600000157, average: -79.55
episode: 7690/200000, score: -45.34160600000022, average: -78.15
episode: 7691/200000, score: -58.10000000000005, average: -76.32
episode: 7692/200000, score: -140.00000000000009, average: -76.89
episode: 7693/200000, score: -114.92000299999997, average: -79.70
episode: 7694/200000, score: -90.56560700000011, average: -78.77
episode: 7695/200000, score: -128.5, average: -78.61
episode: 7696/200000, score: -33.29999999999977, average: -76.58
episode: 7697/200000, score: -148.30000000000004, average: -76.54
episode: 7698/200000, score: 38.70000000000124, average: -73.77
episode: 7699/200000, score: -57.053600500000144, average: -73.30
episode: 7700/200000, score: -141.20000000000005, average: -84.80
episode: 7701/200000, score: -110.1, average: -86.10
episode: 7702/200000, score: -148.00000000000006, average: -88.41
episode: 7703/200000, score: -124.50000400000012, average: -87.91
episode: 7704/200000, score: -124.70000000000005, average: -87.44
episode: 7705/200000, score: -140.70000000000007, average: -87.70
episode: 7706/200000, score: -119.99999999999996, average: -87.48
episode: 7707/200000, score: -122.26560299999997, average: -87.69
episode: 7708/200000, score: -113.89999999999998, average: -88.07
episode: 7709/200000, score: -81.2000000000001, average: -87.89
episode: 7710/200000, score: -151.90000000000006, average: -89.24
episode: 7711/200000, score: -123.2, average: -90.61
episode: 7712/200000, score: -82.50000000000006, average: -91.62
episode: 7713/200000, score: -95.20000000000002, average: -92.11
episode: 7714/200000, score: -158.9000000000002, average: -93.94
episode: 7715/200000, score: -97.71040000000005, average: -93.57
episode: 7716/200000, score: -116.29999999999998, average: -93.31
episode: 7717/200000, score: -117.49999999999997, average: -95.67
episode: 7718/200000, score: -109.89999999999998, average: -95.12
episode: 7719/200000, score: 72.00000000000045, average: -92.52
episode: 7720/200000, score: -45.51040000000006, average: -90.47
episode: 7721/200000, score: -138.60000000000008, average: -91.46
episode: 7722/200000, score: -107.29999999999998, average: -91.73
episode: 7723/200000, score: -129.50000000000014, average: -93.52
episode: 7724/200000, score: -110.79999999999998, average: -92.85
episode: 7725/200000, score: -81.00000000000011, average: -92.22
episode: 7726/200000, score: -118.50000000000004, average: -92.61
episode: 7727/200000, score: -79.8000000000001, average: -92.99
episode: 7728/200000, score: -116.00000000000001, average: -92.94
episode: 7729/200000, score: -148.80000000000007, average: -92.99
episode: 7730/200000, score: -85.60000000000008, average: -91.70
episode: 7731/200000, score: -127.00000000000003, average: -92.53
episode: 7732/200000, score: -130.40000000000003, average: -92.87
episode: 7733/200000, score: -134.80000000000007, average: -92.64
episode: 7734/200000, score: -34.10641399999999, average: -92.13
episode: 7735/200000, score: -97.70000000000005, average: -92.74
episode: 7736/200000, score: -123.69999999999999, average: -96.10
episode: 7737/200000, score: -121.90000000000009, average: -96.22
episode: 7738/200000, score: -49.46480399999996, average: -96.57
episode: 7739/200000, score: 79.80000000000115, average: -97.71
episode: 7740/200000, score: -112.69999999999999, average: -99.06
episode: 7741/200000, score: -119.89999999999999, average: -100.30
episode: 7742/200000, score: 133.40959600000062, average: -94.83
episode: 7743/200000, score: 51.70000000000047, average: -91.50
