Running on device: cuda
2023-12-17 22:44:19
Hyper Parameters:
BATCH_SIZE: 128
GAMMA: 0.99
EPS_START: 0.9
EPS_END: 0.05
EPS_DECAY: 1200
TAU: 0.005
LR: 0.001
| Episode:  346 | Episode reward:  -83.0  |  Average reward:  -72.36
| Episode:  347 | Episode reward:  -68.0  |  Average reward:  -72.48
| Episode:  348 | Episode reward:  -68.0  |  Average reward:  -72.34
| Episode:  349 | Episode reward:  -67.0  |  Average reward:  -72.14
| Episode:  350 | Episode reward:  -70.89999999999999  |  Average reward:  -72.08
| Episode:  351 | Episode reward:  -79.0  |  Average reward:  -72.029
| Episode:  352 | Episode reward:  -75.0  |  Average reward:  -71.989
| Episode:  353 | Episode reward:  -79.0  |  Average reward:  -72.129
| Episode:  354 | Episode reward:  -77.0  |  Average reward:  -72.239
| Episode:  355 | Episode reward:  -75.0  |  Average reward:  -72.319
| Episode:  356 | Episode reward:  -74.0  |  Average reward:  -72.289
| Episode:  357 | Episode reward:  -77.0  |  Average reward:  -72.419
| Episode:  358 | Episode reward:  -76.0  |  Average reward:  -72.359
| Episode:  359 | Episode reward:  -69.0  |  Average reward:  -72.339
| Episode:  360 | Episode reward:  -81.0  |  Average reward:  -72.298996
| Episode:  361 | Episode reward:  -75.0  |  Average reward:  -72.329
| Episode:  362 | Episode reward:  -56.99999999999999  |  Average reward:  -72.249
| Episode:  363 | Episode reward:  -73.0  |  Average reward:  -72.139
| Episode:  364 | Episode reward:  -69.0  |  Average reward:  -72.118996
| Episode:  365 | Episode reward:  -80.0  |  Average reward:  -72.109
| Episode:  366 | Episode reward:  -79.0  |  Average reward:  -72.459
| Episode:  367 | Episode reward:  -69.0  |  Average reward:  -72.529
| Episode:  368 | Episode reward:  -70.0  |  Average reward:  -72.539
| Episode:  369 | Episode reward:  -74.0  |  Average reward:  -72.499
| Episode:  370 | Episode reward:  -74.0  |  Average reward:  -72.429
| Episode:  371 | Episode reward:  -66.0  |  Average reward:  -72.359
| Episode:  372 | Episode reward:  -74.0  |  Average reward:  -72.229
| Episode:  373 | Episode reward:  -72.0  |  Average reward:  -72.118996
| Episode:  374 | Episode reward:  -66.0  |  Average reward:  -72.009
| Episode:  375 | Episode reward:  -75.0  |  Average reward:  -71.849
| Episode:  376 | Episode reward:  -71.0  |  Average reward:  -71.879
| Episode:  377 | Episode reward:  -74.0  |  Average reward:  -71.868996
